Figure S5a,,,,,,,,,,,,,,,,,,,,Figure S5b,,,,,,,,,,,,,,,,,,
2018 UB,Fruits,Non-starchy Vegetables,Potatoes,Other Starchy Vegetables,Beans and Legumes,Nuts and Seeds,Refined Grains,Whole Grains,Total Processed Meats,Unprocessed Red Meats,Fish,Shellfish,Eggs,Cheese,Yoghurt,Sugars,Milk,Salt,,2018 LB,Fruits,Non-starchy Vegetables,Potatoes,Other Starchy Vegetables,Beans and Legumes,Nuts and Seeds,Refined Grains,Whole Grains,Total Processed Meats,Unprocessed Red Meats,Fish,Shellfish,Eggs,Cheese,Yoghurt,Sugars,Milk,Salt
Benin,151.0700282,176.7199616,0.97270753,627.3038425,39.27524282,39.5942648,625.0830132,52.94304344,30.84274043,25.67428679,59.17374458,1.815800827,3.201539692,0.097142898,12.40527876,30.78810682,40.70693015,6.363146269,,Benin,110.8874836,131.2976855,0.604969148,303.3434858,20.97063457,21.56224303,416.066125,29.93884175,19.76298576,17.38040593,35.31364989,1.083631856,2.201797692,0.069616353,7.044418926,24.93274588,24.35650011,5.279231318
Bolivia,205.1853082,126.1048655,692.8137113,94.68274066,14.29676916,105.8854245,360.4838004,125.1193412,130.9844395,234.7215524,8.275068164,0.065936798,23.69647808,0.614149931,61.93132519,455.0055329,130.0302678,5.549333522,,Bolivia,157.40029,99.02527905,60.28459994,69.28978898,9.954964441,6.210945701,262.1851986,5.020209925,5.546062957,190.2012614,5.713929901,0.045529322,17.43665151,0.313659099,4.307775473,84.68992165,100.0264625,5.358475541
Bosnia and Herzegovina,297.4344073,724.6110134,646.3330775,0.951909548,90.95647898,32.55251947,1088.117424,377.7195682,27.7298643,152.7716698,35.64158463,1.875872875,29.41632526,15.1043946,388.339122,213.7361678,847.1923872,7.18354203,,Bosnia and Herzegovina,274.1479941,645.4228841,75.04890938,0.045860638,5.104234092,2.034545113,129.8497889,21.11699441,12.69917665,67.25969836,6.761803554,0.355884398,7.672021834,1.251624502,26.71161627,20.50658417,338.2078624,7.025485236
Brazil,395.8233959,158.9464657,64.4793651,5.870431808,44.32184396,11.32666243,433.3115899,11.78403411,127.9116538,217.5586673,26.61218132,2.451546401,40.52498682,1.81597226,22.88792806,125.7529977,455.9740337,7.53352682,,Brazil,307.9709029,127.9093369,40.35616336,3.264905839,30.89278325,6.767498887,295.7293099,7.022831813,80.02777627,169.3933555,19.17204943,1.766152432,27.25156768,1.252525005,12.19381725,107.5722507,330.6197713,7.52711144
Bulgaria,191.8984911,301.2645282,109.2097713,7.662683245,8.779169822,16.59389577,416.7087312,147.8126947,77.78595644,149.635801,24.95070475,2.964821398,30.7902789,4.157161214,864.7520552,163.1123201,482.6374234,6.797822501,,Bulgaria,127.8303737,233.2624859,51.48510225,1.580502171,4.190288985,7.080709135,167.6218974,78.61717631,44.80978085,102.7979525,12.90678808,1.533676978,15.81416012,2.058463031,413.7810814,49.72988012,314.5416652,6.771054344
Burkina Faso,18.51020649,57.34211382,12.33351129,66.70147257,244.4810737,218.1450027,810.1181579,848.5921951,25.66169181,41.65618348,58.68016949,0.066986495,11.58312782,0.934690377,145.4395648,35.23822686,96.01566041,11.19530016,,Burkina Faso,8.565622233,29.05585562,1.043306989,3.199814939,13.29730068,12.40473562,93.28732736,30.3710035,1.971797931,23.12956938,10.44270706,0.011920898,3.013613758,0.057121923,9.719126077,13.48649295,24.24084357,3.592412099
Cambodia,81.84891874,123.4781431,0.790137614,7.374688908,33.69705549,11.29697763,676.9618277,94.44118566,64.55970112,34.72273427,122.9861668,8.303126998,3.632628127,1.50992343,108.8436034,139.2595149,10.14719637,6.226162789,,Cambodia,62.95349948,99.27606784,0.053242602,5.320876464,22.59527453,4.970711074,495.3030545,3.086574538,2.003040237,26.51502563,94.31995772,6.3677941,2.73215392,0.51551002,42.11933322,55.33741898,7.513232691,6.191090685
Cameroon,200.8356419,449.8166918,20.28039198,1232.968265,93.32769121,45.71123875,614.8448008,186.7456335,14.27689859,29.54550676,59.0442422,5.686498528,1.898241833,0.040221322,663.565879,40.0371209,31.20383162,7.596270476,,Cameroon,153.4330019,344.5020133,14.77360508,45.38187113,41.40751296,30.49889696,238.8182962,109.8111294,9.500602745,20.13661751,38.15847314,3.675008659,0.764880309,0.018340296,173.9603954,18.85961606,19.4128914,6.117855471
Canada,294.906854,308.0073173,235.3657486,6.033803075,40.73703823,23.23865622,226.1472946,98.58130846,99.32287219,187.0899754,44.89269755,23.3764461,47.63979716,28.61197042,14.70286682,247.9194558,518.3238893,7.367426066,,Canada,234.6611325,258.6296353,192.3951206,4.294058085,28.93388399,17.85791643,162.560431,79.51765778,78.22757674,153.0233101,35.05976789,18.25626035,35.45709785,22.3982551,9.755273158,85.97069515,402.1741184,7.33490531
Central African Republic,153.3946611,157.6784004,1.240257312,1531.07868,36.3849893,51.84180286,739.8597696,294.718553,48.39169621,94.0360401,24.88732967,0.033540876,2.51599868,0.088277641,85.5347769,40.56207641,50.7871015,7.433118134,,Central African Republic,101.8708595,110.3208614,0.114703529,57.69855127,18.09518666,32.17842582,79.64329248,201.8263879,31.53448393,66.27542347,16.68973656,0.022492906,0.600497871,0.006989412,5.038615332,12.49690772,32.86401924,5.440417413
Chad,25.53080365,24.30748966,7.958419977,498.8251203,55.5260218,104.0432112,355.3424858,128.9299395,38.71899656,184.5322351,30.00237925,0,1.308042926,0.210070377,26.09359901,38.9571587,70.35160826,6.598379237,,Chad,16.79256351,17.36522486,4.505628103,22.06622733,10.76640321,25.01652837,127.011849,63.19111789,14.72768946,81.91305667,12.46517235,0,0.342275599,0.022662727,1.816853355,13.91929926,38.59476416,4.912421977
China,293.7897921,1166.611922,444.9575479,288.1811714,21.75169972,31.57617474,935.959907,4.969645015,9.616667815,206.8729068,76.22085011,48.3957259,108.702167,2.989346011,434.5806714,86.85305726,76.05998278,9.881814763,,China,236.46476,954.6530133,35.77554369,13.92069738,13.6510673,20.2343599,115.7546069,3.248551258,6.046704903,152.4935939,54.8276931,34.81233813,27.8953462,0.151260343,27.82793267,2.833880213,49.57403874,9.871823765
Colombia,285.6832274,197.5484447,567.9046938,110.3867347,26.69206889,5.673638943,325.2727112,100.4016848,94.3321916,114.0172512,21.76572716,0.947756889,43.14717534,1.689337325,11.85603692,267.12054,346.0903287,2.863081661,,Colombia,228.041815,158.2918267,47.77977092,80.74924973,19.52296025,0.663335773,233.2075779,3.862510976,54.3664522,92.5528417,15.28521028,0.665572219,32.24435778,0.856414721,6.950585989,146.0038826,264.9340399,2.825280049
Congo,106.4016564,117.9207732,5.273265712,55.87649645,8.839986652,11.06175175,961.1150548,123.460383,20.1929054,119.3563124,91.25379121,0.346852696,1.155136803,0.323378207,10.66414965,196.4749293,3.493862483,5.503084263,,Congo,84.4709339,99.63246511,3.079550932,37.87033852,6.611642324,6.011564491,703.9961088,50.83504723,8.30666885,93.23760806,69.11501652,0.262703933,0.843300995,0.111961614,5.444814247,5.078083421,2.694674436,4.284180262
Cote d'Ivoire,31.04534108,122.0354774,2.151336713,3615.991086,9.410802128,17.30886159,921.0567271,35.69850218,3.527513535,51.36749873,88.67844547,0.363734395,9.40034378,0.329347478,8.921269868,54.26571854,3.775981075,10.52787239,,Cote d'Ivoire,23.00960725,95.79377721,1.562643858,164.2756207,3.833953896,10.93097599,361.2244999,25.0036203,0.88546761,33.75067735,49.90143651,0.204681856,2.469293358,0.029887091,0.630905125,19.56744512,2.535889659,8.500662625
Croatia,262.792846,848.6511076,357.8771329,4.941023359,5.35204447,22.3702858,692.7048366,232.498413,85.76263665,173.3440397,68.57293115,20.78972153,40.19985545,13.96037907,69.49728946,259.1570902,982.0466096,7.620136054,,Croatia,187.1384698,820.0594847,35.17053386,0.234565001,0.816089485,4.099084735,82.00983198,16.01873747,45.67507065,154.0585243,23.31274853,7.067884395,10.36728332,1.076994288,4.728638901,77.66784539,357.438493,7.480453714
Cuba,459.9648082,715.1390152,122.8153308,1205.861752,259.7544913,3.933941188,1139.933947,185.7294423,105.9113586,179.9504504,33.58049738,4.03230382,55.03425873,2.511011877,178.6709554,204.5977199,479.5810187,5.749488279,,Cuba,151.6419622,211.0170532,10.26932571,57.2323602,14.25801574,0.21349182,137.7989064,7.789583997,6.637107042,115.4186778,6.127849421,0.735824438,14.13900358,0.150643873,11.79796349,92.46555021,119.1919534,5.687949522
