"","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Bulgaria"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","53.77341","51.93831","57.91059","60.31978","59.95346","62.53141","64.00978","61.46400","60.96920","59.39231","51.27493","39.75387","39.05229","32.68919","29.94673","17.88925","16.21314","21.77507","21.28919","22.33844","22.67758","23.98088","24.00451","24.31940","23.13341","24.23240","25.37040","26.26018","24.99058","26.56734","23.75418","25.03010","25.38376","23.50748","23.44430","24.03014","24.45977","23.98930","22.18715","21.52279","21.82358","20.74039","25.30279","22.65905"
"Bahrain"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","45.28349","45.91787","50.40766","43.09970","43.92686","48.29480","46.33973","46.69713","45.31358","39.09080","38.20334","39.99347","41.47589","40.61777","39.10011","44.21643","46.85335","44.03409"
"Bahamas..The"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000","15.366003","14.204296","15.699225","15.417272","13.089877","14.582909","13.764888","14.037628","12.709322","12.677771","11.606131","12.148872"," 9.536141","10.616856","10.870239","10.343125","10.809052","11.733753"," 9.259451","10.389512","10.010058","11.499877","12.045142","13.034029","13.038920","13.382419","11.311783","13.339180","13.148153","12.453431","13.245801","12.559499","11.216564"," 8.497762"," 8.791017"
"Bosnia.and.Herzegovina"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","25.85529","25.70000","25.70000","25.21762","27.43018","24.35685","21.53739","20.93762","19.81539","19.82008","20.23349","21.43284","21.03008","21.77244","23.20141","22.90765","22.45401","22.19326","21.62320","22.32368","22.15637","21.72646","22.34435","23.12107","23.71136","23.20379","23.77756","24.79938","24.66325","23.75497"
"Belarus"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","45.95843","44.44444","45.65217","36.04061","32.59147","33.38221","34.21984","35.92618","35.30501","34.00374","33.47895","32.46396","31.81538","32.74105","35.01894","37.83878","37.20703","37.04728","38.82425","36.11762","35.39302","36.08879","36.28286","35.90385","35.37894","32.69269","30.95873","31.55426","31.26553","31.73708","31.35165","32.14457","33.02910","32.53975"
"Belize"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","22.78063","19.99341","26.76768","23.85427","20.74029","20.59889","22.97227","21.49321","20.97913","23.90191","24.30893","24.18041","23.52189","23.58901","23.11670","23.65677","21.35181","21.36622","21.55492","20.57477","20.63475","20.21995","22.79831","20.96692","19.96545","17.38483","17.57147","17.14634","19.05540","20.20093","20.26856","19.40776","18.06152","18.67218","15.76935","15.70533","15.84006","14.54367","15.46067","14.09346","13.66401","14.05184","16.33013","17.02506","15.43015","14.26708"
"Bermuda"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 8.300001"," 8.100000"," 6.499999"," 8.700001","11.073010","10.308511"," 9.584027"," 9.568246"," 9.618363"," 9.951119"," 0.000000"," 0.000000"," 0.000000"," 0.000000"," 6.597532"," 5.667425"," 5.118742"," 5.299009"," 5.004640"," 5.124380"," 5.349794"," 5.509305"," 5.701236"," 6.370650"," 5.634176"," 5.300602"," 5.357474"," 0.000000"
"Bolivia"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","30.99652","29.69422","33.31938","35.10605","36.38462","31.30637","31.91139","32.85796","33.09088","32.57732","28.90553","29.30528","31.68641","33.57748","31.55135","32.22412","32.45554","30.35199","31.15421","31.46093","31.88455","30.60624","30.16088","28.62844","28.13335","29.14276","27.95489","26.43511","26.13339","25.14390","25.73902","25.42068","25.47357","25.59649","26.83965","26.26922","27.65225","28.28979","29.73664","29.22868","30.14394","30.36911","29.33422","28.51819","27.62550","25.20242","25.32636","26.36997","26.24659","25.21027","23.49193","26.36230","26.20176","24.22814"
"Brazil"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","46.13137","43.97254","45.80320","45.19243","42.73843","46.63884","43.53001","42.00414","42.89458","42.26973","42.28383","33.27188","31.76724","34.13227","37.29912","35.42092","23.38146","22.34011","22.59415","22.11879","21.74671","23.00662","22.63953","22.49533","23.08382","24.30662","24.17258","23.54402","23.12538","23.08529","21.87859","23.26798","23.10205","22.13365","21.22481","20.47246","19.36004","18.35476","18.18850","18.74905","18.75463","19.50612","22.12348","22.81946","22.26318"
"Barbados"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000"," 0.00000","16.01409","17.61302","18.23510","18.89363","18.69020","17.00884","16.94547","16.59547","17.71521","18.20598","15.88713","14.44908","13.62310","14.05376","13.36059","18.70521","17.39419","15.25038","14.61205","14.35637","14.94505","14.91796","16.04179","15.61242","15.29392","15.30642","14.69144","14.41977","15.70494","15.08782","14.94567","16.22328","14.72341","15.12452","15.40803","14.51182","15.11481","14.69674","14.64034","14.35160","14.42718","13.89044","13.83680","13.53228","13.23891","13.49906","13.94657","13.97917","13.24682"
